,,Wavelength (µm),"Reflectance, S-Pol. (%)","Reflectance, P-Pol. (%)","Reflectance, Unpol. (%)"
,,0.954,98.261635,97.077207,97.669421
,,0.955,98.256317,97.074353,97.665335
,,0.956,98.256203,97.080122,97.6681625
,,0.957,98.259369,97.087368,97.6733685
,,0.958,98.259941,97.091699,97.67582
,,0.959,98.264046,97.091447,97.6777465
,,0.960,98.268295,97.082459,97.675377
,,0.961,98.261246,97.090998,97.676122
,,0.962,98.271461,97.09657,97.6840155
,,0.963,98.27166,97.085397,97.6785285
,,0.964,98.283913,97.097521,97.690717
,,0.965,98.281059,97.099287,97.690173
,,0.966,98.283119,97.102651,97.692885
,,0.967,98.292381,97.107842,97.7001115
,,0.968,98.294411,97.1218,97.7081055
,,0.969,98.30201,97.125454,97.713732
,,0.970,98.303734,97.124723,97.7142285
,,0.971,98.302338,97.124213,97.7132755
,,0.972,98.304138,97.123323,97.7137305
,,0.973,98.296524,97.126603,97.7115635
,,0.974,98.297867,97.124586,97.7112265
,,0.975,98.294434,97.126283,97.7103585
,,0.976,98.300697,97.134617,97.717657
,,0.977,98.298637,97.141041,97.719839
,,0.978,98.301796,97.14251,97.722153
,,0.979,98.298477,97.141163,97.71982
,,0.980,98.307281,97.140775,97.724028
,,0.981,98.309067,97.13802,97.7235435
,,0.982,98.311241,97.150532,97.7308865
,,0.983,98.314377,97.14525,97.7298135
,,0.984,98.310631,97.141201,97.725916
,,0.985,98.313423,97.151263,97.732343
,,0.986,98.313354,97.163167,97.7382605
,,0.987,98.31514,97.166645,97.7408925
,,0.988,98.311378,97.170861,97.7411195
,,0.989,98.319115,97.173282,97.7461985
,,0.990,98.322578,97.17657,97.749574
,,0.991,98.322357,97.18377,97.7530635
,,0.992,98.327919,97.189204,97.7585615
,,0.993,98.327782,97.186936,97.757359
,,0.994,98.329773,97.194783,97.762278
,,0.995,98.333778,97.192705,97.7632415
,,0.996,98.336945,97.201694,97.7693195
,,0.997,98.333122,97.202234,97.767678
,,0.998,98.335014,97.202425,97.7687195
,,0.999,98.335335,97.210827,97.773081
,,1.000,98.3339,97.21273,97.773315
,,1.001,98.330429,97.258731,97.79458
,,1.002,98.340759,97.268321,97.80454
,,1.003,98.345634,97.266845,97.8062395
,,1.004,98.342049,97.221932,97.7819905
,,1.005,98.347725,97.19785,97.7727875
,,1.006,98.347267,97.195323,97.771295
,,1.007,98.350655,97.192873,97.771764
,,1.008,98.350845,97.196929,97.773887
,,1.009,98.353348,97.197439,97.7753935
,,1.010,98.346985,97.194197,97.770591
,,1.011,98.359795,97.199121,97.779458
,,1.012,98.35791,97.19409,97.776
,,1.013,98.360443,97.198962,97.7797025
,,1.014,98.360321,97.2011,97.7807105
,,1.015,98.360504,97.194167,97.7773355
,,1.016,98.354431,97.204974,97.7797025
,,1.017,98.361923,97.202965,97.782444
,,1.018,98.360001,97.201709,97.780855
,,1.019,98.356636,97.194715,97.7756755
,,1.020,98.361145,97.196336,97.7787405
,,1.021,98.368332,97.209731,97.7890315
,,1.022,98.366653,97.203269,97.784961
,,1.023,98.365875,97.202935,97.784405
,,1.024,98.368202,97.206527,97.7873645
,,1.025,98.364899,97.206915,97.785907
,,1.026,98.360428,97.211634,97.786031
,,1.027,98.36702,97.214366,97.790693
,,1.028,98.366203,97.203346,97.7847745
,,1.029,98.357948,97.210218,97.784083
,,1.030,98.372719,97.219702,97.7962105
,,1.031,98.374657,97.2177,97.7961785
,,1.032,98.375031,97.302099,97.838565
,,1.033,98.384048,97.3071,97.845574
,,1.034,98.371216,97.310928,97.841072
,,1.035,98.38002,97.273718,97.826869
