,,Wavelength (µm),"Reflectance, P-Pol. (%)","Reflectance, S-Pol. (%)","Reflectance, Unpol. (%)"
,,17.222,95.20739,98.50802,96.85771
,,17.211,95.19802,98.51668,96.85735
,,17.200,95.18869,98.5253,96.857
,,17.192,95.18172,98.53175,96.85674
,,17.181,95.17246,98.54032,96.85639
,,17.170,95.16324,98.54886,96.85605
,,17.162,95.15636,98.55524,96.8558
,,17.151,95.14721,98.56372,96.85547
,,17.140,95.13811,98.57217,96.85514
,,17.132,95.13131,98.57849,96.8549
,,17.121,95.12228,98.58688,96.85458
,,17.110,95.1133,98.59524,96.85427
,,17.102,95.10659,98.60149,96.85404
,,17.091,95.09768,98.60978,96.85373
,,17.080,95.08882,98.61805,96.85344
,,17.072,95.0822,98.62423,96.85322
,,17.061,95.07342,98.63243,96.85293
,,17.050,95.06469,98.6406,96.85264
,,17.042,95.05816,98.6467,96.85243
,,17.031,95.04951,98.65481,96.85216
,,17.020,95.0409,98.66288,96.85189
,,17.012,95.03448,98.66891,96.8517
,,17.001,95.02596,98.67692,96.85144
,,16.990,95.01748,98.68489,96.85119
,,16.982,95.01116,98.69084,96.851
,,16.971,95.00277,98.69875,96.85076
,,16.960,94.99443,98.70661,96.85052
,,16.952,94.98821,98.71249,96.85035
,,16.941,94.97995,98.72029,96.85012
,,16.930,94.97175,98.72805,96.8499
,,16.922,94.96564,98.73384,96.84974
,,16.911,94.95752,98.74154,96.84953
,,16.900,94.94946,98.74919,96.84933
,,16.892,94.94345,98.7549,96.84918
,,16.881,94.93548,98.76249,96.84899
,,16.873,94.92954,98.76815,96.84885
,,16.862,94.92166,98.77566,96.84866
,,16.851,94.91384,98.78314,96.84849
,,16.843,94.90801,98.78871,96.84836
,,16.832,94.90028,98.79611,96.8482
,,16.821,94.8926,98.80347,96.84804
,,16.813,94.88688,98.80897,96.84792
,,16.802,94.8793,98.81625,96.84778
,,16.791,94.87177,98.8235,96.84764
,,16.783,94.86617,98.8289,96.84753
,,16.772,94.85874,98.83607,96.84741
,,16.761,94.85136,98.8432,96.84728
,,16.753,94.84587,98.84852,96.84719
,,16.742,94.8386,98.85557,96.84708
,,16.731,94.83138,98.86258,96.84698
,,16.723,94.826,98.86781,96.8469
,,16.712,94.81888,98.87474,96.84681
,,16.701,94.81182,98.88163,96.84673
,,16.693,94.80656,98.88677,96.84667
,,16.682,94.7996,98.89358,96.84659
,,16.671,94.7927,98.90035,96.84652
,,16.662,94.78693,98.90601,96.84647
,,16.652,94.78054,98.91229,96.84642
,,16.642,94.77452,98.91823,96.84637
,,16.632,94.76823,98.92444,96.84633
,,16.622,94.76229,98.93031,96.8463
,,16.612,94.7564,98.93614,96.84627
,,16.602,94.75025,98.94225,96.84625
,,16.592,94.74445,98.94802,96.84623
,,16.582,94.73839,98.95406,96.84622
,,16.572,94.73268,98.95976,96.84622
,,16.562,94.72701,98.96543,96.84622
,,16.552,94.72109,98.97136,96.84622
,,16.542,94.71552,98.97695,96.84624
,,16.532,94.70999,98.98252,96.84625
,,16.522,94.70422,98.98834,96.84628
,,16.512,94.69879,98.99383,96.84631
,,16.502,94.6934,98.99929,96.84634
,,16.492,94.68805,99.00472,96.84638
,,16.482,94.68248,99.01039,96.84643
,,16.472,94.67723,99.01574,96.84649
,,16.462,94.67203,99.02106,96.84655
,,16.452,94.66688,99.02634,96.84661
,,16.442,94.66178,99.03158,96.84668
,,16.432,94.65646,99.03707,96.84676
,,16.422,94.65145,99.04224,96.84684
,,16.412,94.64649,99.04737,96.84693
,,16.402,94.64158,99.05247,96.84702
,,16.392,94.63672,99.05753,96.84712
,,16.382,94.63191,99.06256,96.84723
,,16.372,94.62714,99.06754,96.84734
,,16.362,94.62243,99.07249,96.84746
,,16.352,94.61776,99.0774,96.84758
,,16.342,94.61315,99.08228,96.84771
,,16.332,94.60834,99.08737,96.84786
,,16.322,94.60383,99.09217,96.848
,,16.312,94.59937,99.09693,96.84815
,,16.302,94.59495,99.10165,96.8483
,,16.292,94.59082,99.10608,96.84845
,,16.282,94.58651,99.11073,96.84862
,,16.272,94.58224,99.11533,96.84879
,,16.262,94.57803,99.1199,96.84897
,,16.252,94.57387,99.12443,96.84915
,,16.242,94.56976,99.12892,96.84934
,,16.232,94.56571,99.13337,96.84954
,,16.222,94.5617,99.13778,96.84974
,,16.212,94.55775,99.14215,96.84995
,,16.202,94.55385,99.14647,96.85016
,,16.192,94.5502,99.15054,96.85037
,,16.182,94.5464,99.15479,96.8506
,,16.172,94.54266,99.159,96.85083
,,16.162,94.53897,99.16317,96.85107
,,16.152,94.53533,99.1673,96.85131
,,16.142,94.53193,99.17118,96.85155
,,16.132,94.52839,99.17523,96.85181
,,16.122,94.52491,99.17924,96.85207
,,16.112,94.52148,99.1832,96.85234
