,,Wavelength (µm),"Reflectance, P-Pol. (%)","Reflectance, S-Pol. (%)","Reflectance, Unpol. (%)"
,,17.410,97.92312,92.61757,95.27035
,,17.402,97.93326,92.59176,95.26251
,,17.391,97.94676,92.55741,95.25208
,,17.380,97.96023,92.52315,95.24169
,,17.372,97.97032,92.49752,95.23392
,,17.361,97.98376,92.46341,95.22359
,,17.350,97.99717,92.4294,95.21328
,,17.342,98.00721,92.40395,95.20558
,,17.331,98.02057,92.37011,95.19534
,,17.320,98.0339,92.33636,95.18513
,,17.312,98.04388,92.31111,95.1775
,,17.301,98.05717,92.27754,95.16735
,,17.290,98.07042,92.24407,95.15724
,,17.282,98.08034,92.21903,95.14968
,,17.271,98.09353,92.18575,95.13964
,,17.260,98.10669,92.15257,95.12963
,,17.252,98.11654,92.12776,95.12215
,,17.241,98.12964,92.09478,95.11221
,,17.230,98.14271,92.06192,95.10231
,,17.222,98.15248,92.03734,95.09491
,,17.211,98.16548,92.00468,95.08508
,,17.200,98.17844,91.97214,95.07529
,,17.192,98.18814,91.94781,95.06798
,,17.181,98.20103,91.91549,95.05826
,,17.170,98.21388,91.88328,95.04858
,,17.162,98.22349,91.85921,95.04135
,,17.151,98.23626,91.82723,95.03175
,,17.140,98.24899,91.79538,95.02219
,,17.132,98.25851,91.77158,95.01505
,,17.121,98.27116,91.73996,95.00556
,,17.110,98.28377,91.70848,94.99612
,,17.102,98.29319,91.68495,94.98907
,,17.091,98.30571,91.65371,94.97971
,,17.080,98.31819,91.6226,94.9704
,,17.072,98.32751,91.59937,94.96344
,,17.061,98.3399,91.56851,94.9542
,,17.050,98.35224,91.5378,94.94502
,,17.042,98.36145,91.51486,94.93815
,,17.031,98.3737,91.4844,94.92905
,,17.020,98.38589,91.45409,94.91999
,,17.012,98.395,91.43145,94.91323
,,17.001,98.4071,91.4014,94.90425
,,16.990,98.41914,91.37151,94.89533
,,16.982,98.42814,91.34919,94.88866
,,16.971,98.44009,91.31956,94.87982
,,16.960,98.45197,91.2901,94.87103
,,16.952,98.46085,91.2681,94.86447
,,16.941,98.47264,91.23891,94.85577
,,16.930,98.48436,91.20988,94.84712
,,16.922,98.49312,91.18821,94.84066
,,16.911,98.50474,91.15946,94.8321
,,16.900,98.5163,91.13088,94.82359
,,16.892,98.52493,91.10955,94.81724
,,16.881,98.53638,91.08126,94.80882
,,16.873,98.54493,91.06015,94.80254
,,16.862,98.55627,91.03215,94.79421
,,16.851,98.56754,91.00433,94.78593
,,16.843,98.57596,90.98357,94.77976
,,16.832,98.58712,90.95604,94.77158
,,16.821,98.59821,90.92869,94.76345
,,16.813,98.60649,90.90829,94.75739
,,16.802,98.61747,90.88124,94.74936
,,16.791,98.62838,90.85438,94.74138
,,16.783,98.63652,90.83434,94.73543
,,16.772,98.64731,90.80778,94.72755
,,16.761,98.65803,90.78141,94.71972
,,16.753,98.66602,90.76174,94.71388
,,16.742,98.67662,90.73568,94.70615
,,16.731,98.68715,90.70981,94.69848
,,16.723,98.695,90.69052,94.69276
,,16.712,98.7054,90.66497,94.68518
,,16.701,98.71572,90.6396,94.67766
,,16.693,98.72342,90.6207,94.67206
,,16.682,98.73362,90.59566,94.66464
,,16.671,98.74374,90.57081,94.65728
,,16.662,98.75222,90.55001,94.65111
,,16.652,98.7616,90.52699,94.6443
,,16.642,98.77046,90.50526,94.63786
,,16.632,98.77973,90.48254,94.63113
,,16.622,98.78847,90.46109,94.62478
,,16.612,98.79716,90.43978,94.61847
,,16.602,98.80625,90.41751,94.61188
,,16.592,98.81483,90.39649,94.60566
