,,Wavelength (µm),"Reflectance, P-Pol. (%)","Reflectance, S-Pol. (%)","Reflectance, Unpol. (%)"
,,15.712,93.27291,99.83376,96.55334
,,15.702,93.27008,99.83675,96.55342
,,15.693,93.26731,99.83969,96.5535
,,15.682,93.26447,99.84273,96.5536
,,15.672,93.26184,99.84556,96.5537
,,15.662,93.25928,99.84833,96.55381
,,15.652,93.25679,99.85105,96.55392
,,15.643,93.25437,99.85372,96.55405
,,15.633,93.25202,99.85634,96.55418
,,15.622,93.24961,99.85904,96.55432
,,15.612,93.24739,99.86154,96.55447
,,15.602,93.24525,99.86399,96.55462
,,15.592,93.24317,99.86638,96.55478
,,15.582,93.24116,99.86873,96.55494
,,15.573,93.23922,99.87101,96.55512
,,15.563,93.23735,99.87325,96.5553
,,15.553,93.23555,99.87543,96.55549
,,15.543,93.23382,99.87755,96.55568
,,15.533,93.23215,99.87962,96.55589
,,15.523,93.23056,99.88164,96.5561
,,15.513,93.22903,99.8836,96.55632
,,15.503,93.22757,99.88551,96.55654
,,15.493,93.22619,99.88736,96.55677
,,15.483,93.22487,99.88916,96.55701
,,15.473,93.22362,99.8909,96.55726
,,15.463,93.22244,99.89259,96.55752
,,15.453,93.22132,99.89423,96.55778
,,15.443,93.22028,99.89581,96.55805
,,15.433,93.21931,99.89734,96.55832
,,15.423,93.21841,99.89881,96.55861
,,15.413,93.21757,99.90022,96.5589
,,15.402,93.21681,99.90159,96.5592
,,15.392,93.21611,99.90289,96.5595
,,15.382,93.21548,99.90415,96.55981
,,15.373,93.21496,99.90528,96.56012
,,15.363,93.21446,99.90642,96.56044
,,15.353,93.21404,99.90751,96.56078
,,15.343,93.21369,99.90855,96.56112
,,15.332,93.2134,99.90953,96.56147
,,15.322,93.21319,99.91046,96.56182
,,15.313,93.21305,99.91128,96.56217
,,15.303,93.21297,99.9121,96.56254
,,15.293,93.21296,99.91287,96.56291
,,15.282,93.21302,99.91358,96.5633
,,15.273,93.21314,99.9142,96.56367
,,15.263,93.21333,99.9148,96.56407
,,15.253,93.2136,99.91535,96.56447
,,15.242,93.21393,99.91584,96.56489
,,15.233,93.21431,99.91626,96.56528
,,15.223,93.21477,99.91664,96.56571
,,15.213,93.21531,99.91698,96.56614
,,15.202,93.21592,99.91725,96.56658
,,15.193,93.21655,99.91747,96.56701
,,15.183,93.21729,99.91764,96.56746
,,15.172,93.2181,99.91775,96.56793
